date,body_part,exercise,sets_raw,sets_estimated,reps_per_set_raw,reps_per_set_estimated,weight_raw,notes
2/21/2025,背部,杠杆交叉下拉,—,,—,,—,面朝器械
2/21/2025,肱三头肌,绳索下压,—,,—,,5 kg,
2/23/2025,背部,杠杆交叉下拉,—,,—,,—,面朝器械
2/23/2025,背部,罗马椅伸展,—,,—,,—,
2/23/2025,肱三头肌,绳索下压,—,,—,,5 kg,
2/23/2025,臀腿,坐姿腿屈伸,—,,—,,—,
2/25/2025,有氧,战绳,—,,—,,—,
2/25/2025,臀腿,箭步蹲加转体,—,,—,,—,
2/28/2025,背部,杠杆交叉下拉,—,,—,,—,面朝器械
2/28/2025,腹部,船长椅直腿抬高,—,,—,,—,
2/28/2025,肱三头肌,绳索下压,—,,—,,5 kg,
2/28/2025,臀腿,坐姿髋内收,—,,—,,—,
2/28/2025,臀腿,坐姿髋外展,—,,—,,—,
3/6/2025,背部,辅助引体向上,—,,—,,—,
3/6/2025,肩部,坐姿器械推肩,—,,—,,最小重量,
3/6/2025,臀腿,哑铃箭步蹲,—,,—,,2.5 kg*2,
3/6/2025,有氧,战绳,—,,—,,—,
3/9/2025,腹部,V-Up,—,,—,,—,
3/9/2025,背部,坐姿划船,—,,—,,—,
3/9/2025,肩部,阿诺德推肩,—,,—,,2.5 kg*2,
3/9/2025,臀腿,箭步蹲加转体,—,,—,,—,
3/14/2025,背部,单臂哑铃划船,—,,—,,—,
3/14/2025,背部,杠杆交叉下拉,—,,—,,—,背对器械
3/14/2025,背部,坐姿划船,—,,—,,—,
3/14/2025,肩部,哑铃侧平举,—,,—,,—,
3/14/2025,肩部,坐姿器械推肩,—,,—,,—,
3/21/2025,背部,杠杆交叉下拉,—,,—,,—,背对器械
3/21/2025,背部,坐姿划船,—,,—,,—,
3/21/2025,腹部,俄罗斯转体,—,,—,,0,
3/21/2025,腹部,负重上举/卷腹,—,,—,,—,
3/21/2025,肩部,绳索肩外旋,3*2,6,—,,2.5 kg,
3/21/2025,腹部,仰卧抬腿,—,,—,,—,
3/24/2025,背部,T杠划船,—,,—,,0,
3/24/2025,腹部,罗马椅负重侧腹,—,,—,,—,
3/24/2025,臀腿,器械倒蹬,—,,—,,—,
3/24/2025,臀腿,坐姿髋外展,—,,—,,—,
3/27/2025,背部,颈后高位下拉,4,4,15,15,15 kg,
3/27/2025,背部,坐姿划船,4,4,15,15,—,
3/27/2025,肩部,绳索肩外旋,3*2,6,12,12,2.5 kg,
3/27/2025,臀腿,坐姿髋外展,4,4,15,15,20 kg,
3/27/2025,臀腿,坐姿腿屈伸,—,,15,15,17.5 kg,
3/29/2025,背部,杠杆交叉下拉,4,4,15,15,17.5 kg,背对器械
3/29/2025,臀腿,反向哈克机深蹲,4,4,8,8,5 kg*2,
4/5/2025,臀腿,器械倒蹬,4,4,15,15,40 kg,
4/5/2025,臀腿,史密斯硬拉,4,4,—,,5 kg*2,
4/5/2025,臀腿,哑铃保加利亚分腿深蹲,3*2,6,12,12,—,
4/5/2025,臀腿,坐姿髋内收,—,,—,,20 kg,
4/5/2025,臀腿,坐姿髋外展,—,,—,,—,
4/9/2025,背部,辅助引体向上,4,4,15,15,54 kg,
4/13/2025,背部,辅助引体向上,4,4,15,15,54 kg,
4/13/2025,背部,坐姿划船,4,4,15,15,—,
4/13/2025,臀腿,器械倒蹬,4,4,12-12-15-15,12,40 kg-40 kg-30 kg-30 kg,
4/13/2025,臀腿,深蹲,2,2,15,15,—,
4/13/2025,臀腿,坐姿腿弯举,4,4,15,15,17.5 kg,
4/17/2025,背部,单臂高位下拉,3,3,15,15,17.5 kg/2,
4/17/2025,肩部,阿诺德推肩,4,4,12,12,2.5 kg*2,
4/17/2025,臀腿,坐姿腿弯举,4,4,15,15,17.5 kg,
4/17/2025,臀腿,高脚杯深蹲,4,4,12,12,5 kg,
4/29/2025,背部,辅助引体向上,4,4,15,15,54 kg,
4/29/2025,背部,颈后高位下拉,4,4,15,15,20 kg,
4/29/2025,背部,坐姿划船,—,,—,,—,
4/29/2025,臀腿,反向哈克机深蹲,4,4,8,8,5 kg*2,
4/29/2025,臀腿,深蹲,2,2,15,15,—,
4/29/2025,臀腿,坐姿腿弯举,4,4,15,15,20 kg,
5/10/2025,腹部,前平板支撑,3,3,40 s,40,—,
5/10/2025,肱三头肌,坐姿颈后臂屈伸,4,4,15,15,5 kg,
5/10/2025,肩部,坐姿器械推肩,3,3,12,12,最小重量,教练辅助
5/10/2025,臀腿,史密斯相扑深蹲,4,4,15,15,5 kg*2,
5/15/2025,腹部,前平板支撑,2,2,40 s,40,—,
5/15/2025,背部,宽距高位下拉,4,4,15-15-12-12,15,15 kg-15 kg-20 kg-20 kg,
5/15/2025,臀腿,反向哈克机深蹲,4,4,12,12,5 kg*2,
5/15/2025,臀腿,坐姿腿弯举,4,4,15,15,17.5 kg,
5/18/2025,背部,直臂下压,4,4,12,12,5 kg,
5/18/2025,肱二头肌,直臂弯举,4,4,12,12,5 kg,
5/18/2025,胸部,杠铃卧推,4,4,12,12,10 kg,教练辅助
6/7/2025,背部,坐姿划船（窄距）,4,4,18-18-12-12,18,17.5 kg-17.5 kg-20 kg-20 kg,
6/7/2025,腹部,罗马椅负重侧腹,2*2,4,12,12,2.5 kg,
6/7/2025,肱二头肌,直臂弯举,4,4,12,12,5 kg,
6/7/2025,臀腿,坐姿腿屈伸,4,4,15,15,17.5 kg-17.5 kg-15 kg-15 kg,
6/13/2025,背部,杠杆交叉下拉,4,4,18,18,15 kg,背对器械
6/13/2025,腹部,俄罗斯转体,—,,—,,0,
6/13/2025,腹部,负重上举,3,3,12,12,2 kg,
6/13/2025,臀腿,反向哈克机深蹲,4,4,12,12,10 kg*2,
6/14/2025,背部,辅助引体向上,4,4,18-18-8-8,18,54 kg-54 kg-49.5 kg-49.5 kg,
6/14/2025,背部,宽距高位下拉,4,4,15,15,15 kg,
6/16/2025,背部,单臂高位下拉,4,4,12,12,17.5 kg/2,
6/16/2025,背部,辅助引体向上,4,4,12-12-20-20,12,49.5 kg-49.5 kg-54 kg-54 kg,
6/16/2025,肩部,绳索肩外旋,4*2,8,15,15,2.5 kg,
6/16/2025,臀腿,器械倒蹬,4,4,15,15,40 kg-40 kg-30 kg-30 kg,
6/18/2025,背部,杠杆交叉下拉,4,4,18,18,17.5 kg,背对器械
6/18/2025,肩部,绳索肩外旋,4*2,8,15,15,2.5 kg,
6/18/2025,臀腿,史密斯相扑深蹲,4,4,15,15,5 kg*2,
6/21/2025,腹部,负重上举,3,3,20,20,3 kg,
6/21/2025,臀腿,史密斯相扑深蹲,4,4,15,15,5 kg*2,
6/21/2025,臀腿,坐姿腿屈伸,4,4,12-12-15-15,12,17.5 kg-17.5 kg-15 kg-15 kg,
6/21/2025,臀腿,坐姿腿弯举,4,4,15,15,17.5 kg,
6/25/2025,背部,单臂高位下拉,4,4,18,18,17.5 kg/2,
6/25/2025,背部,颈后高位下拉,4,4,12-15-15-15,13.5,20 kg-15 kg-15 kg-15 kg,
6/25/2025,背部,宽距高位下拉,4,4,—,,20 kg-15 kg-15 kg-15 kg,
6/25/2025,肩部,哑铃侧平举,4*2,8,12,12,2.5 kg*2,
6/25/2025,肩部,坐姿器械推肩,4,4,12,12,最小重量,教练辅助
6/27/2025,背部,单臂哑铃划船,3*2,6,12,12,3 kg,
6/27/2025,臀腿,史密斯相扑深蹲,4,4,15,15,5 kg*2,
6/27/2025,臀腿,坐姿腿屈伸,4,4,8-15-15-15,11.5,17.5 kg-15 kg-15 kg-15 kg,
6/27/2025,臀腿,坐姿腿弯举,4,4,15,15,17.5 kg,
6/29/2025,肱二头肌,杠铃弯举,3,3,12,12,10 kg,
6/29/2025,肱二头肌,哑铃弯举,1*2,2,12,12,4 kg,
6/29/2025,臀腿,器械倒蹬,4,4,15,15,40 kg,
6/29/2025,臀腿,坐姿髋外展,4,4,15,15,20 kg,
7/2/2025,背部,颈后高位下拉,4,4,18-18-20-20,18,20 kg,
7/2/2025,臀腿,史密斯相扑深蹲,4,4,15,15,5 kg*2,
7/3/2025,肱三头肌,绳索下压,4,4,20,20,5 kg,
7/10/2025,背部,单臂高位下拉,4,4,15,15,10 kg/2,
7/10/2025,背部,辅助引体向上,4,4,15,15,45 kg,重量不准确
7/10/2025,肩部,绳索肩外旋,4*2,8,3,3,5 kg,
7/10/2025,臀腿,史密斯相扑深蹲,4,4,15,15,5 kg*2,
7/10/2025,臀腿,坐姿髋外展,4,4,15,15,26 kg,
7/25/2025,背部,单臂哑铃划船,4*2,8,15,15,2 kg,
7/25/2025,肩部,哑铃侧平举,4*2,8,15,15,2 kg*2,
7/25/2025,臀腿,高脚杯深蹲,4,4,15,15,2 kg,
8/24/2025,背部,辅助引体向上,4,4,20-20-12-12,20,挡位 7-7-6-6,
8/24/2025,肱二头肌,哑铃弯举,4*2,8,15,15,7.5 lb,
8/24/2025,背部,颈后高位下拉,4,4,15-15-20-20,15,20 kg-20 kg-13.5 kg-13.5 kg,
8/24/2025,肱三头肌,绳索下压,4,4,15,15,20 lb,
8/29/2025,背部,辅助引体向上,4,4,20-20-12-12,20,挡位 7-7-6-6,
8/29/2025,背部,宽距高位下拉,4,4,15-15-20-20,15,20 kg-20 kg-13.5 kg-13.5 kg,
8/29/2025,臀腿,坐姿髋内收,4,4,20,20,20 kg,
9/12/2025,背部,单臂高位下拉,2,2,15,15,14 lb,
9/12/2025,背部,宽距高位下拉,4,4,15,15,18.6 kg,
9/12/2025,臀腿,坐姿髋内收,6,6,20,20,25 kg,
9/12/2025,臀腿,坐姿腿屈伸,4,4,15,15,16kg,
9/19/2025,背部,坐姿划船,4,4,15,15,16.3 kg,
9/19/2025,背部,辅助引体向上,4,4,25-25-10-10,25,挡位 7-7-6-6,
9/19/2025,肱二头肌,哑铃弯举,4*2,8,20,20,7.5 lb,
9/19/2025,臀腿,坐姿髋外展,4,4,20,20,27 kg,
9/19/2025,臀腿,坐姿腿弯举,4,4,25,25,25 kg,
9/22/2025,背部,坐姿划船,4,4,15,15,16.3 kg,
9/22/2025,背部,辅助引体向上,4,4,10-10-10-10,10,挡位 7-7-6-6,
9/22/2025,臀腿,器械倒蹬,5,5,20,20,41 kg,
9/22/2025,臀腿,坐姿髋内收,6,6,20,20,25 kg,
10/3/2025,背部,单臂高位下拉,2,2,15,15,14 lb,
10/3/2025,背部,颈后高位下拉,4,4,20-20-20-12,20,18.6 kg,
10/3/2025,肱二头肌,哑铃弯举,6*2,12,20,20,7.5 lb,
10/9/2025,背部,单臂哑铃划船,4*2,8,15,15,5 lb,
10/9/2025,背部,坐姿划船,4,4,20,20,16.3 kg,
10/9/2025,臀腿,器械倒蹬,4,4,20,20,32 kg,
11/14/2025,背部,单臂高位下拉,4,4,8,8,18 kg/2,
11/14/2025,背部,单臂哑铃划船,4*2,8,15,15,6 lb,
11/14/2025,背部,坐姿划船,5,5,20-15-15-13-10,17.5,16.3 kg,
11/14/2025,臀腿,器械倒蹬,4,4,20,20,32 kg,
11/14/2025,肱二头肌,哑铃弯举,4*2,8,20,20,7.5 lb,
12/8/2025,背部,单臂哑铃划船,4*2,8,20,20,7 lb,
12/8/2025,背部,辅助引体向上,4,4,20-20-12-12,20,挡位 7-7-6-6,
12/8/2025,臀腿,坐姿髋内收,4,4,20,20,27 kg,
12/8/2025,背部,颈后高位下拉,4,4,15,15,18.1 kg,
12/12/2025,背部,单臂哑铃划船,4*2,8,20,20,8 lb,
12/12/2025,背部,辅助引体向上,4,4,12,12,挡位 6,
12/12/2025,背部,颈后高位下拉,4,4,15,15,18.6 kg,
12/12/2025,肩部,哑铃侧平举,4*2,8,15,15,5 lb*2,
12/12/2025,背部,坐姿划船,5,5,12,12,16.3 kg,
1/28/2026,背部,单臂哑铃划船,4,4,15,15,10 lb,
1/28/2026,背部,颈后高位下拉,3,3,15,15,5 kg,重量不准确
1/28/2026,背部,宽距高位下拉,3,3,15,15,5 kg,重量不准确
1/28/2026,臀腿,坐姿腿弯举,4,4,15,15,25 kg,
2/14/2026,肩部,哑铃侧平举,4*2,8,20,20,5 lb*2,
2/14/2026,背部,颈后高位下拉,4,4,12,12,18.1 kg,
2/14/2026,背部,宽距高位下拉,4,4,12,12,18.1 kg,
2/14/2026,背部,单臂哑铃划船,4,4,15,15,5 lb,
2/25/2026,背部,颈后高位下拉,3,3,12,12,20 kg,
2/25/2026,背部,宽距高位下拉,3,3,12,12,20 kg,
2/25/2026,背部,单臂哑铃划船,4,4,15,15,5 lb,
2/25/2026,肱二头肌,牧师凳肱二头肌弯举,2,2,15,15,5 lb,
5/22/2026,背部,坐姿划船,4,4,15,15,15kg,
5/22/2026,臀腿,坐姿髋内收,4,4,15,15,23kg,
5/22/2026,背部,单臂哑铃划船,4*2,8,12,12,5kg,
5/22/2026,臀腿,哑铃保加利亚分腿深蹲,4*2,8,12,12,2.5kg*2,
5/26/2026,背部,坐姿划船,4,4,12,12,15kg,
5/26/2026,背部,颈后高位下拉,4,4,12,12,17.5kg,
5/26/2026,背部,宽距高位下拉,4,4,10,10,17.5kg,
5/26/2026,背部,辅助引体向上,4,4,12,12,65lb,
5/26/2026,背部,单臂高位下拉,4*2,8,12,12,11.5kg,
5/28/2026,臀腿,坐姿髋内收,4,4,15,15,23kg,
5/28/2026,臀腿,坐姿款外展,4,4,15,15,27kg,
5/28/2026,臀腿,坐姿腿弯举,4,4,15,15,14kg,
5/28/2026,臀腿,哑铃保加利亚分腿深蹲,2*2,4,8,8,0kg,
5/28/2026,臀腿,坐姿腿屈伸,4,4,8,8,14kg,
5/30/2026,肱三头肌,绳索下压,4,4,18,18,3.4kg,
5/30/2026,肩部,绳索肩外旋,8*2,16,8,8,1.1kg,
5/30/2026,肱二头肌,哑铃弯举,5*2,10,12,12,2.5kg,
5/30/2026,肩部,哑铃侧平举,4*2,8,20,20,2.5kg,
6/4/2026,背部,坐姿划船,4,4,15,15,17.5kg,
6/4/2026,背部,颈后高位下拉,2,2,15,15,17.5kg,
6/5/2026,臀腿,哑铃保加利亚分腿深蹲,4*2,8,12,12,0kg,
6/5/2026,背部,辅助引体向上,4,4,12,10,65lb,
6/5/2026,臀腿,坐姿髋内收,4,4,15,15,27kg,
6/5/2026,臀腿,坐姿款外展,4,4,15,15,27kg,
6/5/2026,臀腿,坐姿腿屈伸,4,4,6,6,14kg,
6/5/2026,背部,单臂哑铃划船,4*2,8,12,12,5kg,
6/9/2026,背部,坐姿划船,4,4,15,15,17.5kg,
6/9/2026,背部,单臂哑铃划船,4*2,8,15,15,5kg,
6/9/2026,背部,辅助引体向上,4,4,15,15,65lb,
6/9/2026,背部,杠杆交叉下拉,4,4,15,15,18kg,
